This is Ipopt version 3.14.17, running with linear solver MUMPS 5.7.3.

Number of nonzeros in equality constraint Jacobian...:      850
Number of nonzeros in inequality constraint Jacobian.:      417
Number of nonzeros in Lagrangian Hessian.............:     1309

Total number of variables............................:      355
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      314
                     variables with only upper bounds:        0
Total number of equality constraints.................:      205
Total number of inequality constraints...............:      158
        inequality constraints with only lower bounds:      116
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:       42

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  85  1.9838269e+01 7.85e-06 4.90e+04  -3.8 3.61e+00    -  1.44e-01 1.00e+00H  1
  86  2.0845675e+01 7.21e-06 3.36e+04  -3.8 5.57e+00    -  4.38e-01 1.00e+00H  1
  87  2.1936666e+01 7.23e-06 3.31e+04  -3.8 3.29e+00    -  2.46e-01 1.00e+00H  1
  88  2.2480429e+01 7.12e-06 3.99e+04  -3.8 2.58e+00    -  1.28e-01 1.00e+00H  1
  89  2.3934683e+01 6.19e-06 4.52e+04  -3.8 2.25e+00    -  7.71e-02 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  2.4497271e+01 6.20e-06 2.55e+04  -3.8 6.77e+00    -  5.25e-01 1.00e+00H  1
  91  2.5058171e+01 6.16e-06 1.90e+04  -3.8 3.43e+00    -  4.81e-01 1.00e+00H  1
  92  2.5211907e+01 6.13e-06 1.99e+04  -3.8 1.48e+00    -  3.40e-01 1.00e+00H  1
  93  2.5475558e+01 6.11e-06 2.27e+04  -3.8 1.24e+00    -  2.67e-01 1.00e+00H  1
  94  2.5941529e+01 6.07e-06 1.18e+03  -3.8 2.21e+00    -  9.65e-01 1.00e+00H  1
  95  2.5903894e+01 6.06e-06 7.78e-02  -3.8 7.93e-02    -  1.00e+00 1.00e+00f  1
  96  2.5982269e+01 6.04e-06 1.27e+03  -5.7 8.16e-02    -  8.20e-01 8.98e-01h  1
  97  2.6064832e+01 6.01e-06 1.12e+04  -5.7 3.07e-02    -  3.63e-01 1.00e+00h  1
  98  2.6394367e+01 5.99e-06 2.16e+04  -5.7 2.77e-01    -  2.12e-01 1.00e+00h  1
  99  2.6759208e+01 6.07e-06 3.30e+04  -5.7 3.74e-01    -  1.35e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  2.7214185e+01 6.09e-06 1.25e+00  -5.7 5.68e-01    -  1.00e+00 1.00e+00h  1
 101  2.6916095e+01 6.10e-06 7.13e-01  -5.7 3.71e-01    -  1.00e+00 1.00e+00f  1
 102  2.6987987e+01 6.11e-06 6.42e-01  -5.7 2.81e-02    -  1.00e+00 1.00e+00h  1
 103  2.7056921e+01 6.12e-06 1.31e+04  -5.7 2.64e-02    -  2.12e-01 1.00e+00h  1
 104  3.0293236e+01 5.78e-06 2.61e+00  -5.7 3.16e+00    -  1.00e+00 1.00e+00h  1
 105  2.8934778e+01 5.63e-06 9.63e-01  -5.7 1.42e+00    -  1.00e+00 1.00e+00f  1
 106  2.9069481e+01 5.49e-06 1.14e+04  -5.7 7.18e-02    -  2.34e-01 1.00e+00h  1
 107  2.9592398e+01 5.35e-06 2.04e+04  -5.7 3.24e-01    -  2.15e-01 1.00e+00h  1
 108  3.1686421e+01 2.84e-06 2.03e+00  -5.7 5.23e+00    -  1.00e+00 1.00e+00H  1
 109  3.1625319e+01 2.77e-06 3.10e-01  -5.7 1.21e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  3.1796859e+01 2.71e-06 3.14e+02  -5.7 1.08e-01    -  9.57e-01 1.00e+00h  1
 111  3.1863042e+01 2.64e-06 2.80e-01  -5.7 1.71e-02    -  1.00e+00 1.00e+00h  1
 112  3.1919588e+01 2.58e-06 4.55e+03  -5.7 1.64e-02    -  3.51e-01 1.00e+00h  1
 113  3.2064766e+01 2.53e-06 4.34e+03  -5.7 9.23e-02    -  6.19e-01 1.00e+00h  1
 114  3.2255689e+01 2.47e-06 2.25e-01  -5.7 1.95e-01    -  1.00e+00 1.00e+00h  1
 115  3.2193843e+01 2.42e-06 8.54e+01  -5.7 1.11e-01    -  9.87e-01 1.00e+00f  1
 116  3.2237649e+01 2.37e-06 5.23e+03  -5.7 1.44e-02    -  1.99e-01 1.00e+00h  1
 117  3.2544937e+01 2.33e-06 1.69e+03  -5.7 2.36e-01    -  8.54e-01 1.00e+00h  1
 118  3.2488659e+01 2.29e-06 1.77e-01  -5.7 1.11e-01    -  1.00e+00 1.00e+00f  1
 119  3.2538265e+01 2.24e-06 2.00e+02  -5.7 1.26e-02    -  9.67e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  3.2592412e+01 2.20e-06 1.59e-01  -5.7 1.21e-02    -  1.00e+00 1.00e+00h  1
 121  3.2640604e+01 2.17e-06 1.51e-01  -5.7 1.17e-02    -  1.00e+00 1.00e+00h  1
 122  3.2687771e+01 2.15e-06 1.43e-01  -5.7 1.14e-02    -  1.00e+00 1.00e+00h  1
 123  3.2733782e+01 2.13e-06 1.36e-01  -5.7 1.10e-02    -  1.00e+00 1.00e+00h  1
 124  3.2778687e+01 2.11e-06 1.30e-01  -5.7 1.07e-02    -  1.00e+00 1.00e+00h  1
 125  3.2822537e+01 2.09e-06 1.24e-01  -5.7 1.04e-02    -  1.00e+00 1.00e+00h  1
 126  3.2865379e+01 2.07e-06 1.18e-01  -5.7 1.01e-02    -  1.00e+00 1.00e+00h  1
 127  3.2907285e+01 2.05e-06 1.13e-01  -5.7 9.86e-03    -  1.00e+00 1.00e+00h  1
 128  3.2950411e+01 2.04e-06 5.14e+03  -5.7 9.72e-03    -  7.01e-02 1.00e+00h  1
 129  3.3177067e+01 2.02e-06 1.04e-01  -5.7 1.80e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  3.3132567e+01 2.00e-06 9.96e-02  -5.7 8.69e-02    -  1.00e+00 1.00e+00f  1
 131  3.3175717e+01 1.99e-06 9.56e-02  -5.7 9.32e-03    -  1.00e+00 1.00e+00h  1
 132  3.3219181e+01 1.97e-06 9.17e-02  -5.7 9.20e-03    -  1.00e+00 1.00e+00h  1
 133  3.3260624e+01 1.95e-06 8.81e-02  -5.7 9.07e-03    -  1.00e+00 1.00e+00h  1
 134  3.3301310e+01 1.94e-06 8.48e-02  -5.7 8.95e-03    -  1.00e+00 1.00e+00h  1
 135  3.3341245e+01 1.92e-06 8.16e-02  -5.7 8.83e-03    -  1.00e+00 1.00e+00h  1
 136  3.3380454e+01 1.91e-06 7.85e-02  -5.7 8.72e-03    -  1.00e+00 1.00e+00h  1
 137  3.3418961e+01 1.89e-06 7.57e-02  -5.7 8.60e-03    -  1.00e+00 1.00e+00h  1
 138  3.3456790e+01 1.88e-06 7.30e-02  -5.7 8.49e-03    -  1.00e+00 1.00e+00h  1
 139  3.3493965e+01 1.87e-06 7.04e-02  -5.7 8.38e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  3.3530514e+01 1.85e-06 6.80e-02  -5.7 8.28e-03    -  1.00e+00 1.00e+00h  1
 141  3.3566484e+01 1.84e-06 6.57e-02  -5.7 8.17e-03    -  1.00e+00 1.00e+00h  1
 142  3.3602074e+01 1.83e-06 7.29e+02  -5.7 8.07e-03    -  8.53e-01 1.00e+00h  1
 143  3.3640128e+01 1.81e-06 6.13e-02  -5.7 7.98e-03    -  1.00e+00 1.00e+00h  1
 144  3.3672566e+01 1.80e-06 5.93e-02  -5.7 7.87e-03    -  1.00e+00 1.00e+00h  1
 145  3.3706237e+01 1.79e-06 5.75e-02  -5.7 7.78e-03    -  1.00e+00 1.00e+00h  1
 146  3.3739660e+01 1.78e-06 5.56e-02  -5.7 7.68e-03    -  1.00e+00 1.00e+00h  1
 147  3.3772230e+01 1.77e-06 5.39e-02  -5.7 7.59e-03    -  1.00e+00 1.00e+00h  1
 148  3.3804274e+01 1.76e-06 5.23e-02  -5.7 7.50e-03    -  1.00e+00 1.00e+00h  1
 149  3.3835826e+01 1.74e-06 5.07e-02  -5.7 7.40e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  3.3866897e+01 1.73e-06 4.92e-02  -5.7 7.31e-03    -  1.00e+00 1.00e+00h  1
 151  3.3897501e+01 1.72e-06 4.78e-02  -5.7 7.23e-03    -  1.00e+00 1.00e+00h  1
 152  3.3927649e+01 1.71e-06 4.64e-02  -5.7 7.14e-03    -  1.00e+00 1.00e+00h  1
 153  3.3957352e+01 1.70e-06 4.51e-02  -5.7 7.06e-03    -  1.00e+00 1.00e+00h  1
 154  3.3986623e+01 1.69e-06 4.38e-02  -5.7 6.97e-03    -  1.00e+00 1.00e+00h  1
 155  3.4015472e+01 1.68e-06 4.26e-02  -5.7 6.89e-03    -  1.00e+00 1.00e+00h  1
 156  3.4043910e+01 1.67e-06 4.15e-02  -5.7 6.81e-03    -  1.00e+00 1.00e+00h  1
 157  3.4071946e+01 1.66e-06 4.04e-02  -5.7 6.73e-03    -  1.00e+00 1.00e+00h  1
 158  3.4099592e+01 1.65e-06 3.93e-02  -5.7 6.65e-03    -  1.00e+00 1.00e+00h  1
 159  3.4126858e+01 1.64e-06 3.83e-02  -5.7 6.57e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  3.4153755e+01 1.63e-06 3.73e-02  -5.7 6.50e-03    -  1.00e+00 1.00e+00h  1
 161  3.4180298e+01 1.63e-06 3.63e-02  -5.7 6.42e-03    -  1.00e+00 1.00e+00h  1
 162  3.4206516e+01 1.62e-06 3.54e-02  -5.7 6.35e-03    -  1.00e+00 1.00e+00h  1
 163  3.4232529e+01 1.61e-06 3.45e-02  -5.7 6.28e-03    -  1.00e+00 1.00e+00h  1
 164  3.4274383e+01 1.60e-06 4.19e+03  -5.7 1.65e-02    -  3.43e-02 1.00e+00h  1
 165  3.5788074e+01 1.58e-06 7.76e-02  -5.7 1.50e+00    -  1.00e+00 1.00e+00h  1
